cause,effect,lag_weeks,f_stat,p_value,n,q_value_fdr,pass_fdr_05
电子,纺织业,3,24.471862044741073,6.672440377997191e-13,154,2.0417667556671404e-10,True
电子,制造业,3,22.18203469434921,6.623812609518609e-12,154,1.0134433292563472e-09,True
纺织业,非金属矿物制品业,4,16.113961557832024,6.305922450877688e-11,153,6.432040899895242e-09,True
纺织业,制造业,1,47.491444444890206,1.353885892285689e-10,156,1.035722707598552e-08,True
纺织业,工业,1,43.616755486905774,6.215268300024945e-10,156,3.8037441996152664e-08,True
纺织业,电子,3,17.50347179804279,9.041528636899443e-10,154,4.611179604818716e-08,True
电子,工业,3,17.137072199002812,1.3469935167265135e-09,154,5.8882859445473305e-08,True
制造业,纺织业,1,39.31621778278,3.507396484359049e-09,156,1.3415791552673362e-07,True
工业,纺织业,1,37.49402867528495,7.396767753853339e-09,156,2.27051655277144e-07,True
纺织业,大工业电量,3,15.589782477596787,7.419988734547189e-09,154,2.27051655277144e-07,True
大工业电量,纺织业,1,36.49913921671127,1.1154193124696121e-08,156,2.9356216657561163e-07,True
制造业,电子,3,15.196913222922731,1.1512241826494574e-08,154,2.9356216657561163e-07,True
工业,电子,3,13.821630964624998,5.4626668077872864e-08,154,1.2858277255253151e-06,True
电子,大工业电量,1,32.33490039987565,6.394587170888144e-08,156,1.3976740530655514e-06,True
纺织业,非普工业,2,17.88259438736162,1.0827281704539615e-07,155,2.2087654677260814e-06,True
信息传输,非普工业,1,29.121453821871867,2.5384727475596947e-07,156,4.7738558206500414e-06,True
电子,非普工业,1,29.02042965707631,2.6521421225833564e-07,156,4.7738558206500414e-06,True
大工业电量,电子,3,12.18202455536524,3.640804332460945e-07,154,6.189367365183607e-06,True
非普工业,电子,3,11.696841108985797,6.43718865211973e-07,154,1.0080352347241473e-05,True
黑色金属冶炼,非金属矿物制品业,3,11.677136101068642,6.588465586432335e-07,154,1.0080352347241473e-05,True
交通仓储和邮政业,非普工业,1,26.68158971420576,7.372050424558907e-07,156,1.0742130618642978e-05,True
农业,非普工业,1,23.180100139909857,3.5126523661999087e-06,156,4.8857801093507824e-05,True
信息传输,纺织业,1,22.54016793534446,4.692255806570955e-06,156,6.242740333959618e-05,True
商业用电,非普工业,1,22.340642640593778,5.136987478393529e-06,156,6.549659034951749e-05,True
合计,非普工业,1,21.984859126864272,6.039174375804812e-06,156,7.39194943598509e-05,True
信息传输,非金属矿物制品业,1,20.43380053562536,1.2288948881833406e-05,156,0.00014066704469883895,True
交通仓储和邮政业,纺织业,1,20.412212834970934,1.241179806166226e-05,156,0.00014066704469883895,True
批发和零售业,非普工业,1,20.21134362876882,1.3616504562219411e-05,156,0.00014880894271568357,True
合计,纺织业,1,20.07750471744189,1.4484591000174518e-05,156,0.00015283740848460008,True
交通仓储和邮政业,非金属矿物制品业,1,19.902160863602894,1.57077054327992e-05,156,0.00016021859541455187,True
石化,非普工业,1,18.685814797186215,2.7649317423050768e-05,156,0.00026518780689014065,True
黑色金属冶炼,电子,1,18.67768065601544,2.775458294701494e-05,156,0.00026518780689014065,True
批发和零售业,纺织业,1,18.613567610390884,2.859868505677987e-05,156,0.00026518780689014065,True
石化,纺织业,1,18.45814400177675,3.0755057098930116e-05,156,0.00027679551389037105,True
非金属矿物制品业,纺织业,4,6.888804640563772,4.2088800850104136e-05,153,0.0003679763731466247,True
化学制品制造业,纺织业,1,17.592296295126193,4.618844968118374e-05,156,0.0003926018222900618,True
商业用电,纺织业,1,17.296865635502144,5.309929081687148e-05,156,0.00043274148913399903,True
化学制品制造业,非普工业,1,17.271521225644914,5.373913917350315e-05,156,0.00043274148913399903,True
农业,非金属矿物制品业,1,16.358179230526467,8.289239619263533e-05,156,0.0006480847274366152,True
农业,纺织业,1,16.312487556550057,8.471695783485167e-05,156,0.0006480847274366152,True
